disp_event;species;feed_datetime;feed_x;feed_y;id_feedtree;def_datetime;def_x;def_y;id_feces;n_seeds;SDD;gut_transit_time;gut_transit_time_hms;id_month;group;GTT
SDApr66;Celtis iguanaea;17/04/2019 16:13;781867.2557;7407917.99;AG75;18/04/2019 07:08;781819.6441;7407958.133;FGA63;2;62.28068721;895;14:55:00;Apr;Guareí;14:55:00
SDApr67;Celtis iguanaea;18/04/2019 06:51;781845.0641;7407945.124;AG118;18/04/2019 07:56;781867.2557;7407917.99;FGA64;3;35.05534053;65;01:05:00;Apr;Guareí;01:05:00
SDApr68;Celtis iguanaea;18/04/2019 06:51;781845.0641;7407945.124;AG118;18/04/2019 07:57;781867.2557;7407917.99;FGA65;3;35.05534053;66;01:06:00;Apr;Guareí;01:06:00
SDApr69;Celtis iguanaea;18/04/2019 06:51;781845.0641;7407945.124;AG118;18/04/2019 07:58;781868.4228;7407920.29;FGA66;4;34.09132588;67;01:07:00;Apr;Guareí;01:07:00
SDApr70;Celtis iguanaea;18/04/2019 07:14;781815.7427;7407967.963;AG119;18/04/2019 07:59;781868.4228;7407920.29;FGA67;6;71.0465432;45;00:45:00;Apr;Guareí;00:45:00
SDApr71;Celtis iguanaea;18/04/2019 07:14;781815.7427;7407967.963;AG119;18/04/2019 08:02;781872.6465;7407905.8;FGA68;5;84.27700576;48;00:48:00;Apr;Guareí;00:48:00
SDApr72;Celtis iguanaea;18/04/2019 11:37;781971.9842;7407559.646;AG120;18/04/2019 12:33;782061.5193;7407588.077;FGA69;3;93.94507172;56;00:56:00;Apr;Guareí;00:56:00
SDApr73;Celtis iguanaea;18/04/2019 11:37;781971.9842;7407559.646;AG120;18/04/2019 12:44;782058.3085;7407607.536;FGA70;4;98.72345719;67;01:07:00;Apr;Guareí;01:07:00
SDApr74;Celtis iguanaea;18/04/2019 11:37;781971.9842;7407559.646;AG120;18/04/2019 12:59;782096.357;7407623.659;FGA71;3;139.8844684;82;01:22:00;Apr;Guareí;01:22:00
SDApr75;Celtis iguanaea;18/04/2019 11:37;781971.9842;7407559.646;AG120;18/04/2019 13:19;782114.8688;7407596.475;FGA72;4;147.557665;102;01:42:00;Apr;Guareí;01:42:00
SDApr76;Diospyros inconstans;18/04/2019 13:55;782243.2125;7407531.725;AG121;18/04/2019 14:52;782070.5028;7407528.504;FGA73;3;172.7400142;57;00:57:00;Apr;Guareí;00:57:00
SDApr77;Diospyros inconstans;18/04/2019 14:53;782061.3873;7407522.575;AG82;18/04/2019 16:04;781902.8771;7407561.527;FGA74;4;163.2253736;71;01:11:00;Apr;Guareí;01:11:00
SDApr78;Celtis iguanaea;19/04/2019 12:03;781767.023;7407998.595;AG126;19/04/2019 13:12;781650.3341;7408090.272;FGA77;2;148.3911891;69;01:09:00;Apr;Guareí;01:09:00
SDApr79;Annona emarginata;19/04/2019 11:49;781764.9641;7407987.329;AG61;19/04/2019 13:12;781650.3341;7408090.272;FGA77;4;154.0671298;83;01:23:00;Apr;Guareí;01:23:00
SDApr80;Celtis iguanaea;19/04/2019 09:30;781867.1676;7407897.266;AG125;19/04/2019 11:08;781810.2634;7407885.052;FGA78;2;58.20718598;98;01:38:00;Apr;Guareí;01:38:00
SDApr81;Rhamnidium elaeocarpum;19/04/2019 08:48;781849.5555;7407698.759;AG123;19/04/2019 11:08;781810.2634;7407885.052;FGA78;1;190.3902679;140;02:20:00;Apr;Guareí;02:20:00
