x	y	point	species
781845.0641	7407945.124	AG118	Celtis iguanaea
781845.0641	7407945.124	AG118	Celtis iguanaea
781845.0641	7407945.124	AG118	Celtis iguanaea
781845.0641	7407945.124	AG118	Celtis iguanaea
781845.0641	7407945.124	AG118	Celtis iguanaea
781837.2502	7407953.448		
781835.1882	7407959.063		
781820.7982	7407962.459		
781795.5053	7407948.469		
781790.4562	7407957.057		
781785.3782	7407957.776		
781782.4597	7407940.126		
781768.5398	7407926.875		
781750.2678	7407925.868		
781746.0954	7407914.847		
781747.4173	7407908.188		
781742.3212	7407893.208		
781725.0781	7407880.113		
781714.4966	7407899.296	AG102	Syagrus romanzoffiana
781714.4966	7407899.296	AG102	Syagrus romanzoffiana
781714.4966	7407899.296	AG102	Syagrus romanzoffiana
781714.4966	7407899.296	AG102	Syagrus romanzoffiana
781714.4966	7407899.296	AG102	Syagrus romanzoffiana
781715.7536	7407886.573		
781716.5389	7407869.826		
781712.8895	7407853.368		
781703.9487	7407850.743		
781704.8601	7407845.505		
781695.5963	7407843.054		
781666.2358	7407829.754		
781687.4388	7407839.67		
781668.0596	7407834.142		
781662.6559	7407832.219		
781652.0243	7407822.799		
781654.5659	7407823.001		
781655.2184	7407821.233		
781653.8198	7407826.564		
781664.1799	7407832.107		
781735.863	7407793.631		
781752.6078	7407804.904		
781779.3677	7407769.164		
781805.7549	7407736.832		
781786.5882	7407711.493	AG131	Syagrus romanzoffiana
781786.5882	7407711.493	AG131	Syagrus romanzoffiana
781794.9655	7407719.601		
781814.7512	7407784.466		
781849.6037	7407807.396		
781850.2742	7407816.459	AG161	Syagrus romanzoffiana
781850.2742	7407816.459	AG161	Syagrus romanzoffiana
781850.2742	7407816.459	AG161	Syagrus romanzoffiana
781850.2742	7407816.459	AG161	Syagrus romanzoffiana
781850.0897	7407815.311		
781863.1604	7407812.896		
781878.1332	7407833.698		
781884.2966	7407856.925		
781881.6512	7407859.791		
781875.3302	7407894.155		
781881.2073	7407898.873	AG163	Celtis iguanaea
