ticks day timestep x y energy status action
 178 2 70 781843.57 7407382.52 75 "hungry" "on feeding tree" 
 179 2 71 781844.51 7407402.3 73 "hungry" "search feeding tree" 
 180 2 72 781844.51 7407402.3 71 "hungry" "on feeding tree" 
 181 2 73 781844.51 7407402.3 74 "hungry" "on feeding tree" 
 182 2 74 781844.51 7407402.3 77 "hungry" "on feeding tree" 
 183 2 75 781844.51 7407402.3 80 "hungry" "on feeding tree" 
 184 2 76 781843.57 7407382.52 78 "hungry" "search feeding tree" 
 185 2 77 781843.57 7407382.52 76 "hungry" "on feeding tree" 
 186 2 78 781843.57 7407382.52 79 "hungry" "on feeding tree" 
 187 2 79 781843.57 7407382.52 82 "hungry" "on feeding tree" 
 188 2 80 781852.8 7407365 80 "hungry" "search feeding tree" 
 189 2 81 781852.8 7407365 78 "hungry" "on feeding tree" 
 190 2 82 781844.02 7407382.75 76 "hungry" "search feeding tree" 
 191 2 83 781844.02 7407382.75 74 "hungry" "on feeding tree" 
 192 2 84 781844.02 7407382.75 77 "hungry" "on feeding tree" 
 193 2 85 781844.02 7407382.75 80 "hungry" "on feeding tree" 
 194 2 86 781835.24 7407400.5 78 "hungry" "search feeding tree" 
 195 2 87 781835.24 7407400.5 76 "hungry" "on feeding tree" 
 196 2 88 781835.24 7407400.5 79 "hungry" "on feeding tree" 
 197 2 89 781835.24 7407400.5 82 "hungry" "on feeding tree" 
 198 2 90 781844.02 7407382.75 80 "hungry" "search feeding tree" 
 199 2 91 781844.02 7407382.75 78 "hungry" "on feeding tree" 
 200 2 92 781853.1 7407365.15 76 "hungry" "search feeding tree" 
 201 2 93 781853.1 7407365.15 74 "hungry" "on feeding tree" 
 202 2 94 781862.18 7407347.55 72 "hungry" "search feeding tree" 
 203 2 95 781862.18 7407347.55 70 "hungry" "on feeding tree" 
 204 2 96 781862.18 7407347.55 73 "hungry" "on feeding tree" 
 205 2 97 781862.18 7407347.55 76 "hungry" "on feeding tree" 
 206 2 98 781871.26 7407329.96 74 "hungry" "search feeding tree" 
 207 2 99 781871.26 7407329.96 72 "hungry" "on feeding tree" 
 208 2 100 781871.26 7407329.96 75 "hungry" "on feeding tree" 
 209 2 101 781871.26 7407329.96 78 "hungry" "on feeding tree" 
 210 2 102 781880.34 7407312.36 76 "hungry" "search feeding tree" 
 211 2 103 781880.34 7407312.36 74 "hungry" "on feeding tree" 
 212 2 104 781880.34 7407312.36 77 "hungry" "on feeding tree" 
 213 2 105 781880.34 7407312.36 80 "hungry" "on feeding tree" 
 214 2 106 781871.26 7407329.96 78 "hungry" "search feeding tree" 
 215 2 107 781871.26 7407329.96 78 "night" "" 
 216 2 108 781767.49 7407531.06 76 "sleeping" "to sleeping tree" 
 217 3 1 781778.37 7407547.6 74 "hungry" "search feeding tree" 
 218 3 2 781778.37 7407547.6 61 "hungry" "on feeding tree" 
 219 3 3 781778.37 7407547.6 64 "hungry" "on feeding tree" 
 220 3 4 781778.37 7407547.6 67 "hungry" "on feeding tree" 
 221 3 5 781789.26 7407564.14 65 "hungry" "search feeding tree" 
 222 3 6 781789.26 7407564.14 63 "hungry" "on feeding tree" 
 223 3 7 781789.26 7407564.14 66 "hungry" "on feeding tree" 
 224 3 8 781800.15 7407580.68 64 "hungry" "search feeding tree" 
